keyword	search_volume	cpc_usd	competition	keyword_difficulty	intent
ircc login	368000	4.77	0	54	navigational
green card	14800	4.15	0.08	38	informational
tn visa	9900	4.96	0.14	13	navigational
immigration consultant near me	9900	4.93	0.6	45	commercial
canadian citizenship card	9900	3.8	0.01	12	informational
spousal sponsorship canada	8100	5.13	0.17	20	informational
do canadians need a visa for usa	5400	4.21	0.03	16	informational
immigration lawyer near me	4400	7.29	0.66	22	commercial
immigration lawyer toronto	3600	12.75	0.51	31	commercial
e2 visa	3600	5.13	0.68	14	informational
l1 visa	2400	8.18	0.24	8	informational
eb2 niw	1900	8.64	0.61	17	navigational
us green card	1900	5.82	0.1	66	informational
tn visa requirements	1600	4.71	0.32	18	informational
uscis processing times	1600	12.72	0	14	informational
do canadians need a visa for australia	1600	3.61	0.02	9	informational
immigration lawyers brampton	1300	8.75	0.75	15	commercial
immigration lawyer ottawa	1300	7.77	0.58	7	commercial
immigration lawyers in ottawa	1300	7.77	0.58	7	commercial
tn visa occupation list	1300	5.15	0.05	12	informational
do canadians need visa for uk	1300	6.25	0.52	16	informational
us work visa for canadians	1300	3.32	0.22	21	informational
can canadians work in the us	1300	3.31	0.07	4	informational
do canadians need visa for europe	1300	0.08	0.02	27	informational
green card usa	1000	8.43	0.13	66	informational
europe visa for canadians	1000	4.99	0.07	27	informational
us immigration lawyer	880	29.7	0.51	14	commercial
immigration lawyer in mississauga	880	9.33	0.79	24	commercial
e-2 visa	880	8.14	0.63	10	informational
k1 visa	880	9.36	0.13	32	informational
us visa fees from canada	880	4.32	0.04	12	informational
l1a visa	720	11.79	0.33	11	navigational
do canadians need a visa for singapore	720	5.38	0.16	12	informational
spouse visa canada processing time	720	4.89	0.03	24	informational
canada citizenship card	720	4.19	0.01	31	informational
what is a green card	720	3.23	0.03	38	informational
ircc processing time calculator	720	1.6	0	46	navigational
tn visa for canadian citizens	590	11.81	0.02	13	informational
usmca professional list	590	9.31	0.07	27	navigational
best immigration lawyer toronto	590	8.91	0.65	27	commercial
l1b visa	590	9.7	0.18	0	informational
how to get green card usa	590	2.72	0.34	66	informational
tn visa jobs	480	6.02	0.08	2	informational
tn visa professions list	480	2.66	0.14	12	informational
do canadians need a visa for egypt	480	6.66	0.08	1	informational
do canadians need a visa for south korea	480	4.93	0.11	5	informational
do canadians need visa for malaysia	480	2.82	0.1	13	informational
spouse visa canada requirements	480	2.71	0.22	20	informational
lost canadian citizenship card	480	2.11	0.03	12	informational
how to get a green card	480	1.65	0.21	46	informational
green card holder	480	0.72	0.86	32	informational
green card holders	480	0.72	0.86	42	informational
tn visa to green card	390	9.26	0.12	1	informational
free consultation immigration lawyer	390	7.42	0.74	9	informational
l1 visa eligibility	390	4.92	0.33	5	informational
l1a visa requirements	390	4.92	0.33	2	informational
l1 visa requirements	390	4.55	0.21	0	informational
l1b visa requirements	390	4.55	0.21	0	informational
